State,Min Wage
Alabama,7.25
Alaska,7.75
Arizona,7.80
Arkansas,7.25
California,8.00
Colorado,7.78
Connecticut,8.25
Delaware,7.25
Florida,7.79
Georgia,7.25
Hawaii,7.25
Idaho,7.25
Illinois,7.25
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
Louisiana,7.25
Maine,7.50
Maryland,7.25
Massachusetts,8.00
Michigan,7.25
Minnesota,7.25
Mississippi,7.25
Missouri,7.35
Montana,7.25
Nebraska,7.25
Nevada,7.25
New Hampshire,7.25
New Jersey,7.25
New Mexico,7.50
New York,7.25
North Carolina,7.25
North Dakota,7.25
Ohio,7.85
Oklahoma,7.25
Oregon,8.95
Pennsylvania,7.25
Rhode Island,7.75
South Carolina,7.25
South Dakota,7.25
Tennessee,7.25
Texas,7.25
Utah,7.25
Vermont,7.25
Virginia,7.25
Washington,9.19
West Virginia,7.25
Wisconsin,7.25
Wyoming,5.15
District of Columbia,8.25
